Food Name,Category,Serving Size (g),Protein (g),Carbohydrates (g),Total Fat (g),Dietary Fiber (g),Sugars (g),Calories (kcal)
Spinach,Vegetables,246.3,2.4,7.7,0.9,3.8,1.7,138.15
Banana,Fruits,164.4,1.6,10.2,0.7,2.1,19.0,97.68
Paneer,Dairy,194.7,6.4,5.7,14.1,0.0,12.1,339.88
Whole Wheat Bread,Grains & Cereals,114.7,8.8,79.3,6.4,9.0,2.3,495.79
Chicken Thigh,Meat & Poultry,155.6,19.9,2.0,19.4,0.2,0.3,415.84
Mackerel,Seafood,143.7,17.1,0.3,7.4,0.0,0.3,198.64
Green Peas,Legumes,114.0,9.2,27.1,1.5,5.4,2.2,196.58
Pumpkin Seeds,Nuts & Seeds,29.2,15.1,23.5,58.0,8.6,5.9,198.43
Banana Chips,Snacks,51.8,4.6,47.3,33.4,2.4,16.3,266.66
Fruit Smoothie,Beverages,232.2,1.9,7.8,0.6,0.0,5.7,102.96
Gulab Jamun,Desserts,96.3,5.4,40.8,11.2,0.8,27.3,273.16
Cheese Pizza Slice,Fast Food,104.5,13.5,35.0,16.1,2.6,4.2,355.43
Carrot,Vegetables,204.4,2.3,8.0,0.2,3.0,2.1,101.56
Mango,Fruits,111.8,0.9,13.1,0.9,2.1,8.1,74.54
Greek Yogurt,Dairy,207.5,11.1,11.4,7.0,0.5,11.6,310.7
Cornflakes,Grains & Cereals,89.0,8.2,57.4,6.4,6.1,2.4,297.7
Pork Loin,Meat & Poultry,194.1,20.1,2.6,19.7,0.1,0.4,545.66
Pomfret,Seafood,133.0,22.1,0.2,6.5,0.0,0.2,198.98
Chana Dal,Legumes,134.7,5.5,23.8,0.9,8.6,2.0,196.16
Hazelnuts,Nuts & Seeds,29.7,15.2,27.1,54.1,9.3,2.4,218.28
Potato Chips,Snacks,43.2,7.8,56.4,29.5,1.8,11.6,223.0
Orange Juice,Beverages,216.3,0.1,11.6,1.8,0.1,7.2,134.24
Chocolate Cake,Desserts,114.1,3.1,51.5,24.5,2.3,22.7,488.59
Chicken Burger,Fast Food,163.4,8.3,33.3,15.6,2.7,8.7,523.7
Bell Pepper,Vegetables,106.7,1.2,8.7,0.3,4.7,2.2,52.93
Papaya,Fruits,151.9,2.0,23.2,1.1,3.7,18.6,186.29
Butter,Dairy,139.4,9.7,10.9,9.7,0.0,11.2,227.72
Ragi,Grains & Cereals,135.9,7.9,58.1,6.0,3.4,2.2,426.52
Keema,Meat & Poultry,102.1,21.7,2.3,24.4,0.1,0.1,336.06
Tilapia,Seafood,158.1,16.5,1.4,2.3,0.1,0.3,141.2
Boiled Chickpeas,Legumes,192.8,9.0,25.7,2.3,4.7,0.8,321.87
Cashews,Nuts & Seeds,38.5,18.0,17.3,57.9,10.6,3.4,261.41
Roasted Peanuts,Snacks,58.8,6.2,57.7,22.1,1.4,13.4,284.25
Sweet Tea,Beverages,216.4,3.3,11.3,0.9,0.8,0.2,144.1
Donut,Desserts,92.2,5.2,40.8,20.6,1.8,41.7,338.68
Fried Chicken,Fast Food,149.6,10.6,31.4,19.8,2.7,6.2,505.44
Tomato,Vegetables,121.9,2.4,12.6,0.1,1.3,5.2,81.31
Watermelon,Fruits,115.4,0.8,10.4,1.4,1.5,10.7,66.63
Buttermilk,Dairy,202.1,2.2,3.7,4.8,0.0,9.5,135.16
Upma,Grains & Cereals,69.0,8.5,67.6,6.3,9.7,0.5,284.65
Chicken Breast,Meat & Poultry,178.6,21.0,1.7,12.2,0.0,0.4,345.67
Rohu Fish,Seafood,190.3,24.2,0.1,13.9,0.0,0.4,408.87
Moong Dal,Legumes,153.6,9.0,26.7,2.1,7.9,0.8,273.98
Peanuts,Nuts & Seeds,22.8,23.6,16.7,52.1,8.1,3.3,139.54
Cookies,Snacks,38.3,5.7,49.7,27.4,2.1,11.5,174.84
Coconut Water,Beverages,280.3,1.0,13.3,1.8,0.5,4.3,220.49
Jalebi,Desserts,101.4,4.6,55.1,20.7,1.9,27.2,419.38
Veg Wrap,Fast Food,245.1,12.9,37.9,12.0,2.2,3.7,790.1
Cabbage,Vegetables,217.4,2.8,3.8,1.0,4.2,5.2,92.67
Pomegranate,Fruits,117.1,1.9,12.3,0.9,1.3,15.0,81.65
Whole Milk,Dairy,173.8,7.7,8.6,13.3,0.4,11.8,302.92
White Rice,Grains & Cereals,107.0,13.4,58.0,1.7,2.8,7.9,322.45
Mutton Curry Cut,Meat & Poultry,154.6,26.1,1.0,22.8,0.2,0.3,482.47
Tuna,Seafood,173.0,16.7,0.3,14.1,0.0,0.2,329.54
Kidney Beans,Legumes,171.8,9.7,26.7,1.7,5.9,3.0,303.96
Sunflower Seeds,Nuts & Seeds,33.7,16.2,24.9,57.4,4.0,4.9,232.94
Popcorn,Snacks,35.6,5.8,61.5,25.9,2.4,13.8,183.24
Lemonade,Beverages,325.5,2.7,1.5,2.0,0.9,3.7,122.44
Pastry,Desserts,52.0,6.0,51.6,23.0,0.3,42.4,223.13
Pav Bhaji,Fast Food,107.2,9.0,36.7,13.0,2.8,7.6,325.92
Spinach,Vegetables,108.6,0.6,9.9,0.8,2.0,6.9,59.01
Banana,Fruits,120.2,1.9,21.1,1.0,3.5,7.5,135.61
